"alpha","Nmax","SR_rate"
0.05,"37.`16.","3.5352697357022444658362383`16.*^-13"
0.05,"48.`16.","1.936241542742467896539766876348954746867282234`16.*^-13"
0.05,"63.`16.","1.024695403465120698896085632693665912555036555`16.*^-13"
0.05,"81.`16.","6.03441900847105409607347998750932424754828939`16.*^-14"
0.05,"106.`16.","3.87822233347487136475741728862006084716124791`16.*^-14"
0.05,"137.`16.","2.94449912815430204150874884541181419152941665`16.*^-14"
0.05,"179.`16.","2.51423273707392496456081955503285714873482216`16.*^-14"
0.05,"232.`16.","2.33720343594669093765902163653124123576120484`16.*^-14"
0.05,"302.`16.","2.2628396212323986302443248664442818437081327`16.*^-14"
0.05,"392.`16.","2.23377641789565450401696319680191420284382442`16.*^-14"
0.05,"510.`16.","2.22270922056482352918918975606367495196214637`16.*^-14"
0.05,"663.`16.","2.21879510426259130417576270549819523397884445`16.*^-14"
0.05,"861.`16.","2.21750227427482340475153396149618662096752064`16.*^-14"
0.05,"1119.`16.","2.21710718189087969476198174904670603748171906`16.*^-14"
0.05,"1455.`16.","2.21699884566171544521250206466309327868304636`16.*^-14"
0.05,"1890.`16.","2.21697277582616685270843686742356023056797258`16.*^-14"
0.05,"2457.`16.","2.21696732650106040283768678404171483142173458`16.*^-14"
0.05,"3193.`16.","2.21696637822183244926121278838276082143185784`16.*^-14"
0.05,"4150.`16.","2.21696624371067785270375872246063381061154469`16.*^-14"
0.05,"5394.`16.","2.21696622874171029303104042858009811915849787`16.*^-14"
0.05,"7010.`16.","2.21696622748314699493419385865812385039788666`16.*^-14"
0.05,"9111.`16.","2.21696622740639931165888275402549061907715168`16.*^-14"
0.05,"11841.`16.","2.21696622740317260075792605673276540413265998`16.*^-14"
0.05,"15389.`16.","2.21696622740308383180150866740310528291955754`16.*^-14"
0.05,"20000.`16.","2.21696622740308232980403221739178738297872629`16.*^-14"
0.1,"10.`16.","1.1905246882934946582729188301`16.*^-10"
0.1,"13.`16.","9.248711452216179683942349957`16.*^-11"
0.1,"17.`16.","5.165297767893457058223233979`16.*^-11"
0.1,"22.`16.","2.768605522454326126549076851`16.*^-11"
0.1,"29.`16.","1.476820461877151437964411062`16.*^-11"
0.1,"37.`16.","9.42586718469144972377226194`16.*^-12"
0.1,"48.`16.","6.79321560974710012077968651`16.*^-12"
0.1,"63.`16.","5.62840668341395424500259608`16.*^-12"
0.1,"81.`16.","5.18761053940939040701722014`16.*^-12"
0.1,"106.`16.","5.00004158701626145282232311`16.*^-12"
0.1,"137.`16.","4.93368220781988578705260916`16.*^-12"
0.1,"179.`16.","4.90932969484996697119451289`16.*^-12"
0.1,"232.`16.","4.90171589474031542496156566`16.*^-12"
0.1,"302.`16.","4.89940976996305885129409667`16.*^-12"
0.1,"392.`16.","4.8988055000397785220456216`16.*^-12"
0.1,"510.`16.","4.8986634750119910155709532`16.*^-12"
0.1,"663.`16.","4.89863549039911043657039729`16.*^-12"
0.1,"861.`16.","4.89863089337030245200197587`16.*^-12"
0.1,"1119.`16.","4.8986302796401334374829889`16.*^-12"
0.1,"1455.`16.","4.89863021641158911205924449`16.*^-12"
0.1,"1890.`16.","4.89863021157923306157435789`16.*^-12"
0.1,"2457.`16.","4.89863021131241639048916961`16.*^-12"
0.1,"3193.`16.","4.89863021130250460324408055`16.*^-12"
0.1,"4150.`16.","4.89863021130226706554607178`16.*^-12"
0.1,"5394.`16.","4.89863021130226364151905394`16.*^-12"
0.1,"7010.`16.","4.89863021130226361387043143`16.*^-12"
0.1,"9111.`16.","4.89863021130226361375484797`16.*^-12"
0.1,"11841.`16.","4.89863021130226361375462122`16.*^-12"
0.1,"15389.`16.","4.89863021130226361375462103`16.*^-12"
0.1,"20000.`16.","4.89863021130226361375462103`16.*^-12"
