"alpha"	"CF_Gamma"	"Hydro_Gamma"
"1.28662207357859514900155772920697927475`16."	"5.598646480148985612810833811338386231074509`23.*^-15"	1.1810890134056983e-15
"1.29364548494983289117499225540086627007`16."	"6.2396273247034640215838038768369789564658186`23.*^-15"	1.2453679956412827e-15
"1.30066889632107018925921693153213709593`16."	"6.8208575552615027198070092493673080133889783`23.*^-15"	1.3113939199002936e-15
"1.30769230769230793143265145772602409124`16."	"7.4647706757866721542240564071167454988982904`23.*^-15"	1.379078210317121e-15
"1.31471571906354522951687613385729491711`16."	"8.2819704518356858328853988740214670463968993`23.*^-15"	1.448320371288747e-15
"1.32173913043478252760110080998856574297`16."	"9.1657116600901245450156124748154817281598636`24.*^-15"	1.5190078347491736e-15
"1.32876254180602026977453533618245273829`16."	"1.00426429884027507915150446622463324798292335`24.*^-14"	1.591015877697013e-15
"1.33578595317725756785876001231372356415`16."	"1.09760164817402160994473863642427505060467605`24.*^-14"	1.664207614902034e-15
"1.34280936454849508798758961347630247474`16."	"1.21575362974713024364330023657123974983292844`24.*^-14"	1.7384340713685348e-15
"1.34983277591973260811641921463888138533`16."	"1.33544311176952598761184251304778915072404569`24.*^-14"	1.813534338718536e-15
"1.35685618729096990620064389077015221119`16."	"1.4555081455392742071619352505608001185343442`24.*^-14"	1.889335819176058e-15
"1.36387959866220742632947349193273112178`16."	"1.60258501831894198292931429520197005806027549`24.*^-14"	1.9656545602856184e-15
"1.37090301003344494645830309309531003237`16."	"1.74165643997730457316001273078530070439970908`24.*^-14"	2.0422956828852983e-15
"1.37792642140468224454252776922658085823`16."	"1.92483111477955707776308852526512212408541113`24.*^-14"	2.119053904179481e-15
"1.38494983277591976467135737038915976882`16."	"2.09766525045648716596644890174473306530565685`24.*^-14"	2.1957141570221435e-15
"1.39197324414715728480018697155173867941`16."	"2.28959478376959479728899622874576182791225377`24.*^-14"	2.2720523057321977e-15
"1.39899665551839458288441164768300950527`16."	"2.50046852149502033966231785958747096504656855`24.*^-14"	2.347835957923502e-15
"1.40602006688963210301324124884558841586`16."	"2.73530892547394313202494325227872896981686215`24.*^-14"	2.4228253709487776e-15
"1.41304347826086962314207085000816732645`16."	"2.98504784473899336181284372021677348316812751`24.*^-14"	2.4967744506368803e-15
"1.42006688963210692122629552613943815231`16."	"3.25860819642986472211908205288710113457761203`24.*^-14"	2.5694318390534064e-15
"1.4270903010033444413551251273020170629`16."	"3.53662951467298671707131253401287627031995554`24.*^-14"	2.64054208704467e-15
"1.43411371237458196148395472846459597349`16."	"3.85312791901327213916941458113357998688675258`24.*^-14"	2.7098469063435143e-15
"1.44113712374581925956817940459586679935`16."	"4.20081492894971331303475393995120099375214532`24.*^-14"	2.7770864950331485e-15
"1.44816053511705700174161393078975379467`16."	"4.56859418558179075371717243466360730894137859`25.*^-14"	2.8420009291917862e-15
"1.45518394648829429982583860692102462053`16."	"4.97430515222343056551940967262685929822267401`25.*^-14"	2.9043316125887028e-15
"1.4622073578595315979100632830522954464`16."	"5.40138561289331396175545649685344727940021207`25.*^-14"	2.963822775382336e-15
"1.46923076923076934008349780924618244171`16."	"5.87263304987898764904723363489537342010584462`25.*^-14"	3.0202230118955624e-15
"1.47625418060200663816772248537745326757`16."	"6.3647075144925299366007251664369244468545502`25.*^-14"	3.0732868467246042e-15
"1.48327759197324438034115701157134026289`16."	"6.92130353771980985374451769654043727115410826`25.*^-14"	3.1227763176880223e-15
"1.49030100334448167842538168770261108875`16."	"7.49583640769310902688624024756974221074826016`25.*^-14"	3.1684625634534407e-15
"1.49732441471571897650960636383388191462`16."	"8.13526257177269050791071413040089738243396056`25.*^-14"	3.2101274031033997e-15
"1.5043478260869564966384359649964608252`16."	"8.79582296396718245119985435252197595341410221`25.*^-14"	3.247564894429928e-15
"1.51137123745819401676726556615903973579`16."	"9.54085372092170040130985495821452054558833558`25.*^-14"	3.2805828573905132e-15
"1.51839464882943153689609516732161864638`16."	"1.031187576414086703781688697032259621597473462`25.*^-13"	3.309004348925708e-15
"1.52541806020066905702492476848419755697`16."	"1.115472137857080228700164525918220563251773008`25.*^-13"	3.3326690752405217e-15
"1.53244147157190635510914944461546838284`16."	"1.206988306793221011217056956155123040141292228`25.*^-13"	3.3514347276946282e-15
"1.53946488294314387523797904577804729342`16."	"1.303254122453960091347125727918355636153865077`25.*^-13"	3.365178228637608e-15
"1.54648829431438139536680864694062620401`16."	"1.406619535576432041714375575384504969048744953`25.*^-13"	3.3737968738693776e-15
"1.55351170568561869345103332307189702988`16."	"1.518078259271703554514145001515365444301452341`25.*^-13"	3.3772093589057466e-15
"1.56053511705685621357986292423447594047`16."	"1.63828105221872264216397056649591913765581532`25.*^-13"	3.3753566768869804e-15
"1.56755852842809373370869252539705485106`16."	"1.76656841880372019200699874171629837251277604`25.*^-13"	3.3682028767813837e-15
"1.57458193979933103179291720152832567692`16."	"1.903611014426297761442105620399705899936999719`25.*^-13"	3.3557356715056207e-15
"1.58160535117056855192174680269090458751`16."	"2.050988473833157101512733222090099987341499011`25.*^-13"	3.337966886702138e-15
"1.5886287625418060720505764038534834981`16."	"2.208177636910062653539680767953373191425432919`26.*^-13"	3.3149327421766356e-15
"1.59565217391304359217940600501606240869`16."	"2.375549626598960709993799579910480752268714668`26.*^-13"	3.2866939593948978e-15
"1.60267558528428089026363068114733323455`16."	"2.55659238771323201430116402276904893036550039`26.*^-13"	3.253335689957938e-15
"1.60969899665551841039246028230991214514`16."	"2.747414908577934551249145964810194603522941526`26.*^-13"	3.214967261603346e-15
"1.61672240802675593052128988347249105573`16."	"2.953199098885594068432705191471674449670915038`26.*^-13"	3.171721740004756e-15
"1.62374581939799322860551455960376188159`16."	"3.171712386598125339351109286888217641769361657`26.*^-13"	3.123755306441503e-15
"1.63076923076923074873434416076634079218`16."	"3.405937928415376800335525612222897655083270538`26.*^-13"	3.071246453269302e-15
"1.63779264214046826886317376192891970277`16."	"3.654707880176417139223737426552565004213875984`26.*^-13"	3.0143950010177595e-15
"1.64481605351170556694739843806019052863`16."	"3.920510563751022222205548939090291959363569465`26.*^-13"	2.9534209428508384e-15
"1.65183946488294308707622803922276943922`16."	"4.202795048394471106687215101564174380902038489`26.*^-13"	2.8885631240274997e-15
"1.65886287625418060720505764038534834981`16."	"4.504169844937930178630134096537001124562236296`26.*^-13"	2.820077765868098e-15
"1.6658862876254181273338872415479272604`16."	"4.825518706352387349264868217412739597387708759`26.*^-13"	2.7482368455418623e-15
"1.67290969899665542541811191767919808626`16."	"5.166301008940129409181549952576395774671989467`26.*^-13"	2.6733263447180038e-15
"1.67993311036789294554694151884177699685`16."	"5.527420949515460289358675457452947087564476841`26.*^-13"	2.5956443817411806e-15
"1.68695652173913046567577112000435590744`16."	"5.913156948638512480169539930172416842851648958`26.*^-13"	2.5154992434779967e-15
"1.6939799331103677637599957961356267333`16."	"6.324733559033611036264565858874797499512790771`26.*^-13"	2.4332073343098197e-15
"1.70100334448160528388882539729820564389`16."	"6.758041886465457457151406941600504114629226477`26.*^-13"	2.349091060897766e-15
"1.70802675585284280401765499846078455448`16."	"7.221360470849245527616046954754552917866931885`26.*^-13"	2.263476672295894e-15
"1.71505016722408010210187967459205538034`16."	"7.711191793743878719973002095339531557872377743`26.*^-13"	2.1766920757213584e-15
"1.72207357859531762223070927575463429093`16."	"8.232144684636501488461397586829660276115829346`26.*^-13"	2.089064648788237e-15
"1.72909698996655536440414380194852128625`16."	"8.783118082858668813055501082235593486548022696`26.*^-13"	2.0009190692629984e-15
"1.73612040133779288453297340311110019684`16."	"9.36716406961634899399246407146458791198256465`26.*^-13"	1.912575183393042e-15
"1.7431438127090301826171980792423710227`16."	"9.984527908841366763847520294324636664157280372`27.*^-13"	1.8243459335899085e-15
"1.75016722408026770274602768040494993329`16."	"1.064079604805162248615972423219756238069625785`27.*^-12"	1.7365353657120904e-15
"1.75719063545150522287485728156752884388`16."	"1.1333533460985094369616620743528653511285674814`27.*^-12"	1.6494367353911234e-15
"1.76421404682274252095908195769879966974`16."	"1.2069036678852209892013948355625649731583826239`27.*^-12"	1.563330731783183e-15
"1.77123745819398004108791155886137858033`16."	"1.2844806792864162155985299466635370258624099791`27.*^-12"	1.4784838358172392e-15
"1.77826086956521756121674116002395749092`16."	"1.3664920705501464277034938231130022453985466257`27.*^-12"	1.3951468284633478e-15
"1.78528428093645508134557076118653640151`16."	"1.4533461296116838072380150050823164999930156681`27.*^-12"	1.3135534627786061e-15
"1.79230769230769237942979543731780722737`16."	"1.5448673321093947482511344978723721234614776235`27.*^-12"	1.2339193115263822e-15
"1.79933110367892989955862503848038613796`16."	"1.6415433486456366114003777757236745908180549186`27.*^-12"	1.1564408000315197e-15
"1.80635451505016741968745463964296504855`16."	"1.7435739413060179766993835892961580032497260613`27.*^-12"	1.0812944316601955e-15
"1.81337792642140471777167931577423587441`16."	"1.8511289769308104476202144812531626178867053961`27.*^-12"	1.008636210929611e-15
